short_id,dam_name,survey_yr1,survey_yr2
121016,Kreis Dam,1937,1949
121017,Lake Logan Dam,1955,1966
121018,Roosevelt Lake Dam,1935,1950
121019,Harrison Lake Dam,1941,1951
121020,Englewood Dam,1927,1942
121021,Kiser Lake Dam,1940,1950
121022,Clark Lake Dam,1958,1968
121023,Veto Lake Dam,1954,1966
121024,Van Buren Lake Dam,1939,1951
121025,Stony Lake Dam,1927,1949
121026,Buckeye Lake Dam,1832,1939
121027,Cowan Lake Dam,1947,1960
121028,Jisco Lake Dam,1952,1970
121029,Decker Lake Dam,1940,1950
121030,Jackson Lake Dam,1940,1951
121031,Hunters Run Structure No. 2,1956,1971
121032,East Branch Reservoir Dam,1939,1977
121033,Hosterman Lake Dam,1938,1951
121034,Upper Mt. Gilead Lake,1930,1948
121035,Pond Lick Lake Dam,1938,1950
121036,Vesuvius Dam,1937,1952
121037,SCS-Sandstone Creek Site-010a,1951,1972
121038,SCS-Rush Creek Site-002,1959,1976
121039,SCS-Sandstone Creek Site-009,1951,1966
121040,SCS-Caddo Creek Site -18,1922,1938
121041,SCS-Sandstone Creek Site-016a,1951,1961
121042,SCS-Cavalry Creek Site-01,1948,1959
121043,SCS-Wildhorse Creek Site-033,1950,1960
121044,SCS-Cane Creek Site-11,1965,1979
121045,Okmulgee Lake,1928,1950
121046,Lake Carl Blackwell,1938,1958
121047,SCS-Stillwater Creek Site-23,1925,1935
121048,SCS-Upper Black Bear Creek Site-62,1937,1955
121049,SCS-Upper Black Bear Creek Site-64,1968,1980
121050,SCS-Mill Creek Site-17,1948,1959
121051,Liberty Lake,1949,1960
121052,Guthrie Lake,1920,1935
121053,Hiwassee,1936,1950
121054,Mcalester Lake,1919,1941
121055,Duncan,1937,1950
121056,Carter Lake,1936,1949
121057,Wetumka,1931,1954
121059,Wewoka,1925,1954
121060,Spavinaw,1924,1935
121061,Shawnee City Lake No.1,1937,1957
121062,Byars,1904,1950
121063,Brown Lake,1943,1963
121064,SCS-Saddle Mountain Creek Site-002,1959,1975
121065,Pretty Water,1936,1946
121066,Taft No.3,1937,1947
121067,Mcgee Creek,1987,2022
121068,Youghiogheny Dam,1943,1973
121069,Lake Gordon,1913,1940
121070,Mathay (Pa-459),1962,1977
121071,Summit Lake Reservoir,1875,2022
121072,Maple Lake,1893,2022
121073,Dunmore No 7 Reservoir,1872,2022
121074,Dunmore No 1,1877,2022
121075,Marshwood,1927,2022
121076,Curtis,1887,2022
121077,Nesbitt,1903,2022
121078,Watres,1925,2022
121079,Pikes Creek,1911,2022
121080,Little Schuylkill River (Pa-422),1962,1976
121081,Duncan Creek WCD Dam 8,1964,1975
121082,Issaqueena Lake Dam,1938,1949
121083,Twelve Mile Creek WCD Dam 16,1955,1974
121084,Twelve Mile Cr WCD Dam 12,1954,1974
121085,Wateree Creek WCD Dam 1,1963,1977
121086,Chester Res Dam,1926,1937
121087,Lancaster CO Wtrwrks Dam,1925,1938
121088,White Lake Dam,1938,1957
121089,Hayes,1979,1990
121090,Marindahl,1954,1972
121091,Dante Lake Dam,1937,1955
121092,Lake Wagner Dam,1937,1965
121093,Cole Dam,1937,1964
121094,Herman Kaubish Dam,1924,1964
121095,George Clark,1949,1964
121096,Wild Rice Creek No. 5,1961,1973
121097,Eblenpowell #2,1964,1974
121098,Watauga Dam,1948,1964
121099,J. Percy Priest Dam,1967,1986
121100,Old Hickory Lock and Dam,1965,1994
121101,Pickwick Landing Dam,1938,1961
121102,Fort Loudoun Dam,1946,1961
121103,Ocoee No. 3 Dam,1942,1972
121104,Ocoee No. 1 Dam,1911,1972
121105,Boone Dam,1952,1964
121106,Fort Patrick Henry Dam,1953,1964
121107,Stillhouse Hollow Dam,1968,1987
121108,Sanford,1965,1980
121109,East Laterals Trinity WS SCS Site 2 Dam,1954,1977
121110,Elm Fork WS SCS Site 11b Dam,1958,1979
121111,Farmer Creek Dam,1961,1972
121112,Hamilton City Lake Dam,1923,1941
121113,Sulphur Creek WS SCS Site 3 Dam,1959,1977
121114,Clear Fork Trinity River WS SCS Site 7 Dam,1955,1969
121115,Lakewood Reservoir Dam,1925,1941
121116,Deep Creek WS SCS Site 8 Dam,1951,1966
121117,Cummins Creek WS SCS Site 6 Dam,1958,1969
121118,Iley Lake Dam,1949,1964
121119,San Diego-Rosita Cks WS SCS Site 1 Dam,1960,1976
121120,Diablo Arroyo WS SCS Site 1 Dam,1960,1970
121121,Escondido Creek WS SCS Site 1 Dam,1954,1975
121122,Santa Fe Railroad Dam,1910,1941
121123,Lake Scarborough Dam,1923,1940
121124,Upper Washita River WS SCS Site 25 Dam,1961,1974
121125,Kerens City Lake Dam,1935,1954
121126,Lake Lawn Dam,1911,1941
121127,Lake Kirby Dam,1928,1941
121128,City of Grand Saline Dam,1925,1938
121129,Xqz Lake Dam,1937,1955
121130,Old Lake Winters City Dam,1945,2013
121131,Lower East Fork Laterals Murphy Lake Dam,1922,1939
121132,Warren Lake Dam,1952,1971
121133,Meridian State Park Lake Dam,1934,1948
121134,Mountain Creek Dam,1950,1961
121135,Chambers Creek WS SCS Site 42 Dam,1966,1976
121136,Gonzales Creek Dam,1949,1970
121137,Vahlsing Lake Dam,1953,1971
121138,Upper Washita River WS SCS Site 21 Dam,1961,1972
121139,Cedar Creek WS SCS Site 50c Dam,1921,1949
121140,Granger Dam,1995,2013
121141,Booby (or Boobe) Hole Reservoir,1865,1940
121142,Indian Creek (Manderfield Reservoir),1898,1940
121143,Rocky Ford (Beaver),1915,1940
121144,Skutumpah,1893,1940
121145,Yankee Meadow,1926,1940
121146,Rocky Ford (Sevier),1890,1940
121148,Echo,1930,1954
121149,Flaming Gorge,1962,2019
121150,East Fork Falling River Dam # 7,1958,1971
121151,East Fork Falling River Dam # 15,1956,1971
121152,Upper North River #77,1966,1976
121153,Mountain Run Dam #11,1959,1971
121154,Radford,1934,1944
121155,McNary Lock and Dam,1951,2013
121156,Lake Aldwell,1913,2010
121157,Lake Mills,1927,2010
121158,Prairie Du Sac,1914,1933
121159,Elk Creek,1926,1941
121160,Twin Parks 7,1964,1975
121161,Bad Axe 33,1965,1976
121162,"Pool #11, Lock and Dam",1938,1953
121163,Galesville Mill,1867,1939
121164,Sutton Dam,1960,1973
121165,Muffie,1971,1988
123189,Holt Lock and Dam,1967,2010
123192,Demopolis Lock and Dam,1979,2010
123195,Robert F. Henry Lock and Dam,1974,2009
123197,Claiborne Lock and Dam,1996,2009
123584,Howell Heflin Lock and Dam,1970,2010
126905,Spring Creek Debris,1963,1979
129065,McCormick-Saeltzer Dam,1912,2000
129154,St. John Dam,1935,2003
151887,Rockdale Dam,1925,2001
151956,Simkins Dam,1900,2010
152206,North Avenue Dam,1835,1997
153449,Dexter Dam,1932,2008
155162,Sugar Creek Lake Dam,2003,2018
155302,Memphis Reservoir Dam,2001,2021
155318,Brookfield Dam,2000,2021
155345,Memphis Lake Dam,2002,2021
155590,Monroe City Dam,2002,2021
163614,"G.V. ""Sonny"" Montgomery Lock and Dam",1976,2010
166524,John Rankin Lock and Dam,1976,2010
183441,Webbers Falls Lock and Dam,1970,2020
188860,LaValle Dam,1851,2001
188911,Milltown Dam,1907,2008
188934,Pawtuxet Falls Dam,1924,2011
192451,Cottonwood Springs Dam,1970,2018
200317,Falcon Dam,1953,2005
206158,Lower Monumental Lock and Dam,1969,2013
206200,Little Goose Lock and Dam,1970,2013
206209,Ice Harbor Lock and Dam,1962,2003
206210,Mill Creek Storage Dam,1942,2009
206211,Lower Granite Lock and Dam,1974,2018
207415,Marmot Dam,1989,2007
240255,Conowingo,1929,2011
268979,Mayfair Lake,1938,1982
274759,John C Boyle,1958,2011
284953,Amistad Dam,1969,2005
344813,Lake Elmer Thomas Dam,1993,2016
345542,Hominy Lake,1940,2016
